15:44:35,61A,6040,Less than 2 MIN
15:46:06,61C,3311,APPROACHING
15:48:06,61D,5272,APPROACHING
15:50:17,61B,5654,APPROACHING
15:50:27,69,6144,APPROACHING
16:03:53,67,6050,APPROACHING
16:07:03,61A,6238,APPROACHING
16:11:14,61C,3308,APPROACHING
16:11:44,61B,5551,Less than 2 MIN
16:11:44,61D,5434,APPROACHING
16:12:04,61C,6034,APPROACHING
16:18:35,69,5585,APPROACHING
16:22:16,61A,6120,APPROACHING
16:25:46,61D,5655,Less than 2 MIN
16:26:16,61B,6132,Less than 2 MIN
16:28:37,61D,3256,APPROACHING
16:31:57,61A,5316,APPROACHING
16:31:57,67,5722,Less than 2 MIN
16:34:48,61D,5549,Less than 2 MIN
16:36:58,61C,3206,APPROACHING
16:39:08,61B,5559,APPROACHING
16:39:59,61D,6125,Less than 2 MIN
16:41:29,61C,3246,APPROACHING
16:47:10,61D,6122,Less than 2 MIN
16:48:00,61A,5548,Less than 2 MIN
16:49:10,69,5357,APPROACHING
16:57:12,61D,5815,APPROACHING
16:58:12,61B,5545,APPROACHING
17:07:53,61A,6036,Less than 2 MIN
17:08:23,61C,5564,APPROACHING
17:12:54,67,6152,APPROACHING
17:20:35,61B,6250,APPROACHING
17:24:46,61D,5293,Less than 2 MIN
17:26:46,61D,6125,Less than 2 MIN
17:27:57,61C,3317,APPROACHING
17:30:57,61A,6113,APPROACHING
17:31:07,61D,6253,APPROACHING
17:41:39,69,5717,APPROACHING
17:43:19,61D,5815,APPROACHING
17:44:59,67,6156,APPROACHING
17:56:32,61B,5922,APPROACHING
18:03:43,61D,5659,Less than 2 MIN
18:05:33,61A,5439,APPROACHING
18:13:54,61C,3314,Less than 2 MIN
18:15:05,61B,3254,APPROACHING
18:18:05,61D,6125,Less than 2 MIN
18:18:55,61A,5647,Less than 2 MIN
18:19:05,61C,3318,APPROACHING
18:20:05,67,6148,APPROACHING
18:26:36,61B,5657,Less than 2 MIN
18:26:56,61D,3309,APPROACHING
18:28:27,69,5938,Less than 2 MIN
18:29:27,61D,5272,Less than 2 MIN
18:30:07,61C,3312,APPROACHING
18:29:57,61A,5441,Less than 2 MIN
18:34:47,61B,6040,Less than 2 MIN
18:34:57,61A,5654,Less than 2 MIN
18:36:38,61D,5434,APPROACHING
18:40:28,61C,3257,APPROACHING
18:42:29,61B,6120,APPROACHING
18:46:29,61A,6132,APPROACHING
18:48:40,69,6259,APPROACHING
18:51:20,61D,5549,APPROACHING
18:55:51,61C,3308,APPROACHING
18:57:21,61B,5444,Less than 2 MIN
18:57:31,61C,3252,APPROACHING
19:01:43,67,6154,APPROACHING
19:03:53,61D,6125,APPROACHING
19:14:14,61A,5548,APPROACHING
19:16:35,61D,6118,APPROACHING
19:25:06,61D,3254,APPROACHING
